Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2025-02-06,02:06:00,BK714928,Success,C7763,Prime Plus,Indiranagar,Banashankari,7.0,3.0,0,,0,,0,,342.0,24.0,4.7,4.8
2025-02-05,14:09:00,BK242249,Success,C4525,eBike,Kudlu,Shivajinagar,3.0,4.0,0,,0,,0,,486.0,33.0,5.0,3.8
2025-02-04,07:55:00,BK439160,Success,C8853,Prime SUV,Ramanagara,Bangalore East,5.0,7.0,0,,0,,0,,381.0,34.0,4.2,4.7
2025-02-08,19:16:00,BK901839,Success,C2342,Auto,Yelahanka New Town,KR Puram,8.0,11.0,0,,0,,0,,358.0,36.0,5.0,4.9
2025-02-08,16:24:00,BK665635,Cancelled,C1979,Mini,Peenya,Whitefield,,,1,Driver is not moving towards pickup location,1,Customer related issue,1,Vehicle Breakdown,,,,
2025-02-23,09:08:00,BK834573,Cancelled,C4234,Prime SUV,HSR Layout,Kengeri,,,1,Change of plans,1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-02-16,09:13:00,BK499165,Success,C9030,Auto,Rajajinagar,Peenya,11.0,9.0,0,,0,,0,,90.0,21.0,4.2,5.0
2025-03-01,10:47:00,BK196592,Success,C3403,Prime Sedan,CV Raman Nagar,MG Road,9.0,11.0,0,,0,,0,,237.0,38.0,3.7,4.9
2025-03-01,06:10:00,BK282340,Success,C5184,eBike,Bangalore Palace,Raghavendra Colony,4.0,3.0,0,,0,,0,,51.0,50.0,4.4,3.9
2025-02-27,16:39:00,BK233649,Cancelled,C7902,Prime SUV,Yeshwanthpur,Kormangala 1st Block,,,1,Driver is not moving towards pickup location,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-13,01:25:00,BK886462,Success,C7030,Prime SUV,Rajagopal Nagar,Bellandur,3.0,5.0,0,,0,,0,,466.0,41.0,4.2,3.8
2025-03-01,12:15:00,BK117113,Success,C6399,Prime SUV,Jayanagar,Sree Chowdeshwari Nagar,12.0,3.0,0,,0,,0,,181.0,47.0,4.0,3.5
2025-02-20,05:15:00,BK273074,Success,C3682,Prime Plus,Jalahalli,Chikkajala,11.0,6.0,0,,0,,0,,466.0,5.0,4.8,3.7
2025-02-28,21:13:00,BK611447,Cancelled,C3871,eBike,MG Road,Doddaballapur,,,1,Driver is not moving towards pickup location,1,More than permitted people in there,1,Other Issue,,,,
2025-02-13,09:16:00,BK935821,Cancelled,C1655,Prime Plus,Indiranagar,MG Road,,,1,AC is not working (Only for 4-wheelers),1,Personal & Car related issues,1,Other Issue,,,,
2025-02-04,22:55:00,BK952561,Cancelled,C8144,Prime SUV,RT Nagar,Bannergatta,,,1,Driver asked to cancel,1,More than permitted people in there,1,Customer Demand,,,,
2025-03-02,07:29:00,BK795763,Cancelled,C5367,Prime Plus,Yelahanka New Town,Jalahalli,,,1,Wrong Address,1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-19,01:19:00,BK738886,Cancelled,C8631,Prime SUV,RT Nagar,Bangalore University,,,1,Driver is not moving towards pickup location,1,The customer was coughing/sick,1,Other Issue,,,,
2025-02-07,15:38:00,BK643516,Success,C4992,Prime SUV,Koramangala,Malleshwaram,6.0,8.0,0,,0,,0,,473.0,27.0,4.2,4.8
2025-02-04,06:22:00,BK842897,Cancelled,C3395,Mini,CV Raman Nagar,Bellandur,,,1,AC is not working (Only for 4-wheelers),1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-04,20:55:00,BK765427,Success,C8773,Bike,RT Nagar,Banaswadi,3.0,6.0,0,,0,,0,,475.0,32.0,4.4,4.8
2025-02-06,01:25:00,BK609733,Success,C6193,Prime Plus,Frazer Town,Yelahanka,9.0,11.0,0,,0,,0,,364.0,26.0,4.4,4.0
2025-02-26,12:33:00,BK760405,Cancelled,C3633,Prime SUV,Ramanagara,MG Road,,,1,Change of plans,1,Customer related issue,1,Customer Demand,,,,
2025-02-23,20:43:00,BK638089,Cancelled,C6760,Prime SUV,Sahakaranagar,Doddaballapur,,,1,Driver is not moving towards pickup location,1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-17,05:07:00,BK758614,Cancelled,C8663,Bike,Kammanahalli,MG Road,,,1,Driver asked to cancel,1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-02-22,11:21:00,BK593965,Success,C8602,Prime Sedan,Rajagopal Nagar,Yeshwanthpur,11.0,4.0,0,,0,,0,,412.0,44.0,3.9,3.8
2025-03-02,01:00:00,BK908470,Success,C6989,Prime Plus,RT Nagar,Bangalore University,6.0,9.0,0,,0,,0,,81.0,13.0,4.6,3.7
2025-02-24,16:39:00,BK393616,Success,C4868,Bike,Sree Chowdeshwari Nagar,Rajajinagar,4.0,3.0,0,,0,,0,,172.0,47.0,3.9,4.4
2025-02-21,18:11:00,BK784950,Success,C5953,eBike,Bangalore University,Bellandur,6.0,6.0,0,,0,,0,,141.0,31.0,5.0,3.8
2025-02-26,20:54:00,BK535489,Success,C4647,Bike,Kudlu,Ramanagara,9.0,4.0,0,,0,,0,,138.0,22.0,4.9,4.3
2025-02-08,14:02:00,BK334954,Cancelled,C9257,Mini,Kammanahalli,Kasavanahalli,,,1,Wrong Address,1,More than permitted people in there,1,Customer Demand,,,,
2025-02-18,10:53:00,BK973339,Cancelled,C8728,Prime Sedan,MG Road,Raghavendra Colony,,,1,Change of plans,1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-02-01,00:54:00,BK963126,Cancelled,C7509,eBike,Sree Chowdeshwari Nagar,Malleshwaram,,,1,Change of plans,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-19,05:06:00,BK870534,Success,C9228,Prime SUV,Kudlu,Sarakki,10.0,11.0,0,,0,,0,,415.0,21.0,4.6,4.3
2025-02-27,18:41:00,BK926715,Success,C5434,Prime Plus,Kudlu,Okalipuram,7.0,8.0,0,,0,,0,,318.0,22.0,4.9,4.4
2025-02-04,19:09:00,BK680635,Cancelled,C1671,Prime SUV,KR Puram,Chandapura,,,1,Change of plans,1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-16,23:23:00,BK307574,Success,C3827,Prime SUV,Bannergatta,Kasavanahalli,6.0,10.0,0,,0,,0,,396.0,32.0,4.6,4.3
2025-02-09,22:37:00,BK363310,Success,C9332,Bike,Kundalahalli,Bellandur,6.0,9.0,0,,0,,0,,369.0,13.0,4.3,4.9
2025-02-10,18:45:00,BK466081,Success,C6503,Prime Plus,Doddaballapur,Chandapura,6.0,5.0,0,,0,,0,,280.0,31.0,4.5,4.9
2025-03-02,18:06:00,BK749198,Success,C1791,Prime Plus,Frazer Town,Shivajinagar,9.0,12.0,0,,0,,0,,124.0,31.0,4.3,4.0
2025-02-13,08:40:00,BK517418,Cancelled,C5641,Mini,Sarakki,Bannergatta,,,1,Wrong Address,1,Customer related issue,1,Vehicle Breakdown,,,,
2025-02-24,00:22:00,BK166765,Cancelled,C8417,Bike,MG Road,Ramanagara,,,1,Driver is not moving towards pickup location,1,Customer related issue,1,Customer Demand,,,,
2025-02-08,16:38:00,BK495637,Success,C4935,eBike,Kammanahalli,Bangalore Palace,8.0,6.0,0,,0,,0,,365.0,26.0,4.3,4.1
2025-02-02,06:37:00,BK639760,Cancelled,C2287,eBike,Whitefield,Kormangala 1st Block,,,1,Driver is not moving towards pickup location,1,Customer related issue,1,Vehicle Breakdown,,,,
2025-02-03,23:27:00,BK629463,Cancelled,C4504,Auto,Indiranagar,Rajajinagar,,,1,AC is not working (Only for 4-wheelers),1,Customer related issue,1,Other Issue,,,,
2025-02-18,00:49:00,BK873900,Success,C6288,Prime Sedan,RT Nagar,Yelahanka New Town,6.0,4.0,0,,0,,0,,56.0,29.0,3.5,4.9
2025-02-21,04:41:00,BK133081,Cancelled,C3981,Prime Plus,Koramangala,Kasavanahalli,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-12,23:15:00,BK427664,Success,C9976,Prime SUV,RT Nagar,Bangalore University,8.0,6.0,0,,0,,0,,184.0,34.0,4.6,4.2
2025-02-02,06:45:00,BK769732,Cancelled,C7783,Prime Plus,Bengaluru East,Indiranagar,,,1,Change of plans,1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-02-10,20:25:00,BK246194,Success,C4776,eBike,Sarakki,Sree Chowdeshwari Nagar,5.0,8.0,0,,0,,0,,359.0,11.0,3.9,4.4
2025-02-18,11:51:00,BK687355,Cancelled,C4386,Bike,Jalahalli,Bommanahalli,,,1,Driver asked to cancel,1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-03-01,01:15:00,BK670378,Success,C3890,Mini,Raghavendra Colony,Sarakki,10.0,4.0,0,,0,,0,,357.0,33.0,4.4,4.2
2025-02-01,20:49:00,BK192980,Cancelled,C7068,Auto,Jayanagar,Chikkajala,,,1,Driver asked to cancel,1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-24,07:51:00,BK315678,Success,C1133,Prime Plus,Bangalore East,Rajagopal Nagar,10.0,10.0,0,,0,,0,,403.0,15.0,3.7,3.8
2025-02-18,11:48:00,BK150042,Cancelled,C5924,Prime SUV,Marathahalli,Malleshwaram,,,1,Wrong Address,1,The customer was coughing/sick,1,Other Issue,,,,
2025-02-08,07:15:00,BK270637,Success,C9869,Prime SUV,Kengeri,Doddaballapur,5.0,6.0,0,,0,,0,,440.0,6.0,4.1,3.8
2025-02-07,16:38:00,BK870362,Success,C2773,Prime Plus,Indiranagar,Hebbal,12.0,6.0,0,,0,,0,,279.0,24.0,4.3,3.8
2025-02-07,05:58:00,BK546091,Success,C2710,Prime Sedan,Kasavanahalli,RT Nagar,7.0,6.0,0,,0,,0,,141.0,34.0,4.3,4.7
2025-02-12,21:06:00,BK317654,Cancelled,C6966,Bike,Bellandur,MG Road,,,1,Change of plans,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-09,01:40:00,BK796233,Cancelled,C4240,Prime SUV,Kudlu,Singasandra,,,1,Change of plans,1,More than permitted people in there,1,Other Issue,,,,
2025-02-11,22:35:00,BK712750,Success,C5544,Prime Plus,Chandapura,Bengaluru East,8.0,10.0,0,,0,,0,,360.0,35.0,4.4,3.9
2025-02-23,15:56:00,BK942963,Cancelled,C2877,Prime SUV,Chikkajala,MG Road,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-27,00:12:00,BK474321,Success,C9960,Prime Sedan,Shivajinagar,Banashankari,8.0,3.0,0,,0,,0,,404.0,27.0,4.9,4.5
2025-02-23,01:14:00,BK924103,Success,C2464,Prime Sedan,Bannergatta,Bangalore University,9.0,9.0,0,,0,,0,,178.0,11.0,3.8,4.1
2025-02-13,00:14:00,BK856093,Cancelled,C8165,Prime SUV,HSR Layout,Yelahanka,,,1,Wrong Address,1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-15,10:34:00,BK147397,Success,C4764,Prime Plus,Bangalore East,Kasavanahalli,4.0,5.0,0,,0,,0,,479.0,37.0,3.7,4.9
2025-02-17,06:09:00,BK739500,Success,C5333,Auto,Bannergatta,Kudlu,6.0,3.0,0,,0,,0,,295.0,13.0,4.5,3.8
2025-02-23,09:26:00,BK649158,Success,C4133,Mini,Shivajinagar,Bannergatta,5.0,9.0,0,,0,,0,,320.0,32.0,4.9,4.0
2025-02-15,22:59:00,BK952514,Success,C6741,Mini,Malleshwaram,Okalipuram,12.0,11.0,0,,0,,0,,345.0,35.0,3.9,4.2
2025-02-16,02:39:00,BK136819,Success,C3724,Prime Sedan,Kammanahalli,CV Raman Nagar,9.0,5.0,0,,0,,0,,374.0,17.0,4.5,4.3
2025-02-19,13:11:00,BK667277,Cancelled,C2783,Prime SUV,Vijayanagar,Kormangala 1st Block,,,1,Change of plans,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-27,19:24:00,BK301796,Cancelled,C3092,Auto,Whitefield,Singasandra,,,1,Wrong Address,1,Customer related issue,1,Other Issue,,,,
2025-02-06,02:07:00,BK621315,Success,C2624,Auto,Chandapura,Yelahanka New Town,11.0,8.0,0,,0,,0,,186.0,40.0,3.7,3.6
2025-02-03,04:02:00,BK269225,Cancelled,C5135,eBike,Banashankari,Bannergatta,,,1,Wrong Address,1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-24,18:24:00,BK798197,Success,C9300,eBike,Basavanagudi,MG Road,6.0,5.0,0,,0,,0,,245.0,24.0,4.3,4.7
2025-02-18,19:55:00,BK745081,Cancelled,C5530,Prime Sedan,MG Road,Kudlu,,,1,Driver is not moving towards pickup location,1,Customer related issue,1,Customer Demand,,,,
2025-02-28,22:59:00,BK820221,Success,C2622,Prime Plus,Bengaluru East,MG Road,6.0,12.0,0,,0,,0,,166.0,41.0,4.1,4.4
2025-02-16,21:22:00,BK180465,Cancelled,C1603,Prime Plus,Bangalore University,Shivajinagar,,,1,Driver is not moving towards pickup location,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-04,09:08:00,BK666841,Cancelled,C3268,eBike,Bangalore East,Kammanahalli,,,1,Change of plans,1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-14,00:23:00,BK317207,Success,C8006,eBike,Bangalore Palace,Doddaballapur,10.0,8.0,0,,0,,0,,54.0,47.0,4.0,3.8
2025-02-13,08:39:00,BK543212,Success,C9865,Auto,Bommanahalli,Ramanagara,6.0,9.0,0,,0,,0,,73.0,38.0,4.0,4.4
2025-02-22,15:48:00,BK314890,Success,C5647,Auto,KR Puram,Jakkur,7.0,12.0,0,,0,,0,,222.0,14.0,4.4,4.5
2025-03-02,05:00:00,BK328691,Success,C3632,Mini,Bangalore East,Ramanagara,11.0,5.0,0,,0,,0,,202.0,6.0,3.9,3.6
2025-02-09,02:48:00,BK804218,Success,C1806,Bike,RT Nagar,Raghavendra Colony,6.0,5.0,0,,0,,0,,59.0,6.0,3.9,4.6
2025-02-06,00:55:00,BK139809,Cancelled,C9065,Bike,Frazer Town,Marathahalli,,,1,Wrong Address,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-17,13:29:00,BK467833,Success,C7803,Bike,Kormangala 1st Block,Ramanagara,8.0,4.0,0,,0,,0,,408.0,9.0,3.5,4.5
2025-02-09,16:49:00,BK582292,Success,C4858,Auto,Kasavanahalli,Indiranagar,9.0,11.0,0,,0,,0,,195.0,50.0,3.6,3.7
2025-02-11,15:14:00,BK799959,Success,C8995,Auto,Jakkur,Sahakaranagar,12.0,4.0,0,,0,,0,,324.0,7.0,5.0,4.0
2025-02-24,06:46:00,BK386738,Success,C3070,Auto,Bannergatta,Doddaballapur,6.0,7.0,0,,0,,0,,305.0,50.0,4.3,4.9
2025-02-09,17:33:00,BK523258,Cancelled,C4430,eBike,Bangalore Palace,Vijayanagar,,,1,Wrong Address,1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-18,15:09:00,BK347620,Cancelled,C4218,Bike,Whitefield,Banaswadi,,,1,Driver asked to cancel,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-06,11:57:00,BK329435,Cancelled,C3970,Auto,Basavanagudi,Shivajinagar,,,1,Driver is not moving towards pickup location,1,More than permitted people in there,1,Customer Demand,,,,
2025-02-27,05:32:00,BK314972,Cancelled,C1093,Prime Plus,KR Puram,Bannergatta,,,1,Change of plans,1,The customer was coughing/sick,1,Other Issue,,,,
2025-02-24,19:04:00,BK492796,Success,C6725,Auto,MG Road,Kudlu,5.0,12.0,0,,0,,0,,131.0,11.0,4.4,4.4
2025-02-05,09:28:00,BK237066,Success,C6513,Prime Plus,Jalahalli,Basavanagudi,11.0,5.0,0,,0,,0,,414.0,27.0,4.3,3.9
2025-02-20,00:33:00,BK560780,Cancelled,C3412,Bike,Ulsoor,Sanjay Nagar,,,1,Change of plans,1,More than permitted people in there,1,Customer Demand,,,,
2025-02-04,09:14:00,BK402017,Cancelled,C2530,Mini,Sarakki,Bangalore East,,,1,Change of plans,1,Personal & Car related issues,1,Other Issue,,,,
2025-02-22,06:43:00,BK249199,Success,C6000,Prime SUV,Indiranagar,Ramanagara,8.0,12.0,0,,0,,0,,153.0,12.0,3.8,4.4
2025-02-10,14:07:00,BK523368,Cancelled,C3217,Bike,Hebbal,Bangalore Palace,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-09,01:59:00,BK847751,Success,C7080,Prime Sedan,Kasavanahalli,Kammanahalli,7.0,9.0,0,,0,,0,,207.0,32.0,3.7,3.8
2025-03-01,08:22:00,BK988241,Success,C2049,Bike,Bangalore University,Yeshwanthpur,10.0,9.0,0,,0,,0,,371.0,18.0,4.4,4.0
2025-02-14,07:13:00,BK784896,Cancelled,C5734,Prime Sedan,MG Road,Raghavendra Colony,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-16,13:06:00,BK697041,Cancelled,C9005,Prime Plus,RT Nagar,Kengeri,,,1,Driver asked to cancel,1,More than permitted people in there,1,Customer Demand,,,,
2025-02-08,00:04:00,BK437241,Success,C2854,Bike,Whitefield,Kundalahalli,10.0,9.0,0,,0,,0,,290.0,23.0,4.5,4.6
2025-02-16,23:18:00,BK242351,Cancelled,C9464,Prime SUV,Chandapura,Doddaballapur,,,1,Driver is not moving towards pickup location,1,Customer related issue,1,Other Issue,,,,
2025-02-01,08:17:00,BK965142,Success,C3824,Prime SUV,Singasandra,Sarakki,12.0,7.0,0,,0,,0,,71.0,34.0,4.3,4.4
2025-02-03,21:23:00,BK684707,Success,C7453,Prime Plus,Chandapura,Bangalore Palace,11.0,4.0,0,,0,,0,,177.0,47.0,4.2,4.2
2025-02-04,01:37:00,BK665037,Success,C9668,Prime Sedan,Bangalore Palace,Ramanagara,4.0,6.0,0,,0,,0,,258.0,35.0,4.6,4.3
2025-02-20,15:20:00,BK324808,Success,C6357,Prime SUV,Banaswadi,Bangalore Palace,3.0,11.0,0,,0,,0,,156.0,16.0,4.3,3.6
2025-02-03,09:54:00,BK549091,Cancelled,C2785,Prime SUV,Vijayanagar,Sarakki,,,1,Change of plans,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-23,09:54:00,BK259747,Success,C7568,eBike,Whitefield,Yeshwanthpur,4.0,9.0,0,,0,,0,,433.0,31.0,4.9,4.7
2025-02-18,22:16:00,BK933506,Success,C1624,Prime SUV,Sahakaranagar,Jayanagar,6.0,4.0,0,,0,,0,,245.0,24.0,4.4,3.6
2025-02-20,11:51:00,BK342547,Success,C3347,eBike,Jakkur,Bengaluru East,12.0,5.0,0,,0,,0,,350.0,42.0,4.1,4.3
2025-02-22,16:00:00,BK709825,Cancelled,C1121,Bike,Jayanagar,Raghavendra Colony,,,1,Driver asked to cancel,1,Customer related issue,1,Customer Demand,,,,
2025-02-17,15:12:00,BK327744,Success,C7030,eBike,Bangalore University,Yelahanka New Town,9.0,10.0,0,,0,,0,,134.0,49.0,4.7,3.9
2025-02-14,13:32:00,BK808975,Success,C7207,Mini,Singasandra,Bangalore University,9.0,8.0,0,,0,,0,,122.0,24.0,4.4,4.8
2025-02-01,12:56:00,BK212040,Success,C6040,eBike,Okalipuram,Rajajinagar,5.0,9.0,0,,0,,0,,335.0,10.0,4.9,4.8
2025-02-01,00:24:00,BK672509,Cancelled,C9849,Auto,Jalahalli,Singasandra,,,1,Change of plans,1,Personal & Car related issues,1,Other Issue,,,,
2025-02-20,08:12:00,BK679774,Success,C2803,Prime Plus,Whitefield,Bellandur,3.0,7.0,0,,0,,0,,136.0,43.0,4.1,4.8
2025-02-14,02:37:00,BK426476,Success,C6473,Bike,Chikkajala,Kundalahalli,3.0,6.0,0,,0,,0,,326.0,38.0,3.8,4.8
2025-02-24,20:52:00,BK140540,Cancelled,C9352,Prime Plus,Sahakaranagar,Rajagopal Nagar,,,1,Driver asked to cancel,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-06,18:07:00,BK483398,Success,C8661,Auto,Marathahalli,Raghavendra Colony,4.0,11.0,0,,0,,0,,476.0,13.0,4.7,4.6
2025-02-02,02:45:00,BK264172,Cancelled,C7859,Auto,Bangalore East,Banashankari,,,1,Wrong Address,1,The customer was coughing/sick,1,Other Issue,,,,
2025-02-08,09:04:00,BK183846,Success,C4898,eBike,Koramangala,Raghavendra Colony,10.0,9.0,0,,0,,0,,78.0,41.0,3.8,4.7
2025-02-11,07:11:00,BK844617,Success,C9898,Prime Sedan,Kundalahalli,Yeshwanthpur,3.0,12.0,0,,0,,0,,462.0,21.0,4.3,4.0
2025-02-08,06:27:00,BK715588,Cancelled,C4531,Prime Plus,Chandapura,MG Road,,,1,Driver is not moving towards pickup location,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-01,14:01:00,BK142218,Cancelled,C5363,Prime Sedan,Raghavendra Colony,Banashankari,,,1,Driver is not moving towards pickup location,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-09,12:21:00,BK518831,Success,C7114,Mini,Vasanth Nagar,CV Raman Nagar,11.0,9.0,0,,0,,0,,372.0,13.0,4.9,4.2
2025-02-16,10:35:00,BK118854,Cancelled,C9140,Mini,CV Raman Nagar,Sanjay Nagar,,,1,Wrong Address,1,The customer was coughing/sick,1,Other Issue,,,,
2025-02-16,20:42:00,BK376359,Success,C6757,Prime SUV,MG Road,Malleshwaram,12.0,12.0,0,,0,,0,,243.0,44.0,4.9,4.8
2025-02-09,19:46:00,BK889385,Success,C1529,eBike,Bangalore East,MG Road,5.0,11.0,0,,0,,0,,456.0,18.0,4.7,4.5
2025-02-18,16:05:00,BK665060,Cancelled,C2604,Prime SUV,Bengaluru East,MG Road,,,1,Wrong Address,1,Personal & Car related issues,1,Other Issue,,,,
2025-03-02,16:35:00,BK497849,Success,C3314,Bike,Rajagopal Nagar,Kammanahalli,9.0,8.0,0,,0,,0,,493.0,36.0,4.9,3.8
2025-02-06,21:50:00,BK292050,Success,C7267,Prime SUV,Bangalore East,Peenya,3.0,5.0,0,,0,,0,,413.0,9.0,4.6,4.1
2025-02-24,01:35:00,BK916009,Success,C6568,Prime Sedan,Sree Chowdeshwari Nagar,Ulsoor,6.0,9.0,0,,0,,0,,76.0,34.0,4.1,3.6
2025-02-27,03:37:00,BK181100,Success,C6527,Prime SUV,Hebbal,Sarakki,9.0,11.0,0,,0,,0,,193.0,15.0,5.0,4.8
2025-02-24,20:51:00,BK174492,Success,C8759,eBike,Okalipuram,MG Road,12.0,3.0,0,,0,,0,,54.0,37.0,3.8,3.7
2025-02-15,02:15:00,BK390525,Success,C7452,Prime SUV,Kengeri,Bangalore Palace,11.0,10.0,0,,0,,0,,63.0,27.0,4.1,3.6
2025-02-07,03:27:00,BK666433,Cancelled,C4976,Prime Plus,Sarakki,Jakkur,,,1,Driver is not moving towards pickup location,1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-02-22,14:00:00,BK312564,Success,C9398,Prime SUV,Vijayanagar,HSR Layout,9.0,9.0,0,,0,,0,,297.0,18.0,4.1,4.9
2025-02-11,22:24:00,BK364814,Cancelled,C1207,Prime Plus,Kammanahalli,Chandapura,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-28,21:31:00,BK190170,Cancelled,C3539,Prime Plus,Basavanagudi,Kudlu,,,1,AC is not working (Only for 4-wheelers),1,More than permitted people in there,1,Other Issue,,,,
2025-02-23,03:01:00,BK547161,Cancelled,C2522,Prime Plus,MG Road,Rajajinagar,,,1,Wrong Address,1,More than permitted people in there,1,Other Issue,,,,
